Delta,Theta,Alpha,Beta,Mean,StdDev,Variance,Kurtosis,Skewness,SEF95,KComplexCount,SpindleCount,SleepStage,Subject,DataType
266.943787133372,33.0595714634196,31.7598252648652,18.6080360472092,0.281399869906872,23.9450289597979,573.364411885563,25.4915772640576,1.84356519458012,11.71875,5,32,N2,S1,EEG_Features
339.727267354126,59.8129396535702,93.4831030608506,56.0585310568774,0.563940223869479,23.0776763859623,532.579147375203,40.8981111282015,2.2680069182337,15.625,7,31,N2,S1,EEG_Features
91.776204653046,17.7972739713107,11.4091174241852,18.4866166639592,-0.414383202328321,37.0758223365198,1374.61660192918,289.044377348401,-8.64878389879662,16.845703125,8,13,N2,S1,EEG_Features
196.40655829494,29.3667129321713,47.3243473188682,22.3695922327014,0.141165898889,23.7810928133943,565.540375399276,110.19293176679,4.1665968909298,13.3056640625,7,17,N2,S1,EEG_Features
177.358614732514,26.732086562886,20.3222716609793,22.5766161301663,-0.226280663268724,19.0514265989062,362.956855453509,30.1069633585217,-1.36426120086839,13.5498046875,5,16,N2,S1,EEG_Features
469.75961536987,39.2858277786364,28.981454781546,31.2039736980619,0.0863267123825841,26.1048569380953,681.463555758421,16.2328439872773,0.082191402007609,13.3056640625,3,25,N2,S1,EEG_Features
62.7324340280432,22.6911936370804,14.701206651314,25.0412931331537,0.24945952731484,17.4977220533492,306.170277056262,22.4904296581848,0.702799185752749,26.9775390625,3,25,N2,S1,EEG_Features
139.34313120789,28.8009225621306,14.6738002738416,17.7268646721671,-0.164646214450054,18.2927814419148,334.625852881663,44.6296441137836,-2.38320214523319,13.671875,8,21,N2,S1,EEG_Features
185.326691543782,29.6903862709636,29.0162014104243,22.8445202972835,0.153637363476901,19.126123043478,365.808582674262,31.1082902730972,1.82424694597079,12.6953125,5,22,N2,S1,EEG_Features
193.173836898098,34.2729064114282,32.2091849949611,20.0304877472238,-0.292618239757124,28.2281731663168,796.829760307567,178.002183847381,-5.96201079387102,12.8173828125,8,12,N3,S1,EEG_Features
271.142625749665,38.4779094927576,32.3164334059966,27.9781498757941,0.866404144924915,46.9118958189361,2200.72596932671,297.71507959336,11.1748793713253,11.23046875,6,3,N3,S1,EEG_Features
356.964612343765,46.9893671420178,25.7839794390222,16.571847399836,-0.908234893001645,38.0463614492589,1447.52561952765,165.683695066637,-6.59812048054046,11.8408203125,8,17,N2,S1,EEG_Features
107.292020157663,29.7750198804452,30.1169224788929,27.830645980435,-0.178077141020403,20.5454248043691,422.114480391987,40.6132767548091,-2.01440586749542,22.216796875,4,31,N2,S1,EEG_Features
127.94513997602,26.1233801229562,19.0119535851239,14.9728910740737,-0.0196989671734082,13.3532298083936,178.308746315772,6.15615506921111,0.512929996967932,14.7705078125,8,46,N2,S1,EEG_Features
236.67948788103,45.9583141787219,37.9024797599332,25.4814871999176,0.350212876345039,17.0376758867103,290.282399620591,17.9077315276828,1.63555307733908,13.427734375,6,28,N2,S1,EEG_Features
262.378553455852,25.6122137996291,32.2491761129325,21.8337440049517,-0.034569957151769,21.27939388425,452.812604081055,30.869255740609,-0.963969655223066,12.20703125,5,28,N2,S1,EEG_Features
209.942848925004,41.2093026697677,25.1625471120751,20.2157495029316,-0.133719097705035,16.3134010598,266.127054137885,3.28847431296046,-0.0664116279598488,13.0615234375,10,26,N2,S1,EEG_Features
180.137140349216,28.3515895427436,20.4339458704012,19.3969582716733,0.273052563895759,19.1472250239276,366.61622611692,28.6439010088468,0.311163951867689,12.939453125,6,13,N3,S1,EEG_Features
265.666831917154,31.0686443062934,36.9777817961412,15.6020499392591,-0.850054271831015,35.0284566751394,1226.99277704212,109.233934501773,-5.26244521963637,12.3291015625,7,11,N3,S1,EEG_Features
450.978293236549,47.018564159491,26.2210887985369,20.6709572642032,0.96463729286873,43.5818109793806,1899.37424824246,224.749004388568,8.38426641933406,12.8173828125,5,7,N3,S1,EEG_Features
502.039094866805,30.9995111699186,30.576881047275,17.0388641945732,0.783438804188904,32.1444055588505,1033.26280873186,137.159460047195,5.71112884207816,11.5966796875,7,12,N3,S1,EEG_Features
398.409922539629,43.1283320540046,24.7784844021959,23.2697055057122,-0.292240765321236,23.2839582101288,542.142709931022,12.5494677756771,-0.640527778209562,11.3525390625,7,16,N3,S1,EEG_Features
185.838991028441,30.8127360425135,16.3588737416057,13.4035123044359,0.569383376579553,20.3405534802371,413.738115882385,21.1890647155075,1.52530872001695,11.71875,10,21,N3,S1,EEG_Features
465.749073420315,30.6557669353665,22.4689856675065,17.9788047540994,0.599219905688495,32.3735060358784,1048.04389305505,110.652583488037,5.47920674206385,11.474609375,6,11,N3,S1,EEG_Features
419.955017362756,37.0011410076575,25.6496015244416,17.9175538545422,0.821173957667235,39.2395250394831,1539.74032532422,217.705346845423,8.01239509348106,12.0849609375,7,7,N3,S1,EEG_Features
459.26922518327,46.5394795298691,29.9885314238208,13.8523803696366,0.302093233291083,24.4035426943999,595.532896037397,23.937361209569,1.63680152889236,11.1083984375,3,23,N3,S1,EEG_Features
294.068779055651,30.7169360373715,15.9404279313587,21.2536661482564,1.43036827343315,66.3707675943627,4405.07879106491,343.178345345936,10.634887181405,30.029296875,5,5,N3,S1,EEG_Features
307.068761836125,32.5328149201987,19.8893045058504,19.5060469544123,0.0231099279859123,23.0351998574738,530.62043247376,14.200644993887,0.683844990919441,11.8408203125,6,10,N3,S1,EEG_Features
264.594191912804,44.1551338632652,21.6046507188499,20.6292087759374,0.218021983405543,24.849121193753,617.478824101824,51.0529705669517,2.77744280164184,11.962890625,5,16,N3,S1,EEG_Features
321.248181804701,29.4768263810718,23.1447445528185,18.3487565379918,-0.329832447441871,30.2465090338975,914.851308737641,33.3058544525382,-1.70800281151652,10.8642578125,2,12,N3,S1,EEG_Features
385.364815467629,38.6685653655326,56.2457008230252,45.3020920631348,-0.175370442094322,25.3086276424231,640.52663314282,17.2009987889042,-0.367382331353158,17.578125,4,31,N2,S1,EEG_Features
287.271870462425,33.0215877668654,14.7254407740461,15.5464912155323,-0.235309755919288,18.3227485288829,335.723113652679,19.8217945951202,-1.03482973638516,11.8408203125,4,45,N2,S1,EEG_Features
247.889460780128,26.6429803621367,23.4372410874306,26.6651352218775,0.303969033980674,22.2564876053873,495.351240528761,24.6664886060244,1.88724179880985,11.962890625,3,21,N3,S1,EEG_Features
339.890624599152,35.3981224921639,21.9861653633868,22.5766553816151,0.0974823866959052,20.1673979073921,406.723938355083,22.1262961233507,-0.769548746876108,12.939453125,8,21,N3,S1,EEG_Features
853.223482871448,51.5681232427803,40.3916907109111,39.8754559501633,1.47584768471959,61.139761552605,3738.07044270939,355.505885699889,12.4146224875162,10.986328125,2,5,N2,S1,EEG_Features
353.160707447453,29.8378077963748,21.2883997946918,19.6437759591232,0.0134648601962965,19.6593323401743,386.489348061422,26.7445856730948,-1.11922579069629,12.5732421875,4,22,N3,S1,EEG_Features
261.278054687241,32.9581320129018,23.2517595712486,21.2401353847952,-0.246417692751456,32.3923185593983,1049.26230165354,132.823982268378,-2.34745340955358,12.20703125,5,6,N3,S1,EEG_Features
318.712062879168,41.4128094471762,35.7487125303839,22.0477669293394,0.447378624213197,30.6618918579019,940.151612305668,193.781886674305,7.05771007410943,12.939453125,6,11,N3,S1,EEG_Features
340.964852877311,23.1004921386512,25.8480437026053,19.2365755770117,-0.123660608900798,19.6002305235069,384.169036574611,3.73534427331247,0.201086364187044,11.962890625,4,23,N3,S1,EEG_Features
531.779209450501,35.807834985549,16.2951917475892,25.3470009442109,0.346351426853973,40.6235222157556,1650.27055721399,209.514317971451,7.15361439320373,11.474609375,7,12,N3,S1,EEG_Features
331.715436760818,31.0615458057721,25.7918612757554,20.8627372154275,-0.134043950670382,26.7072719936554,713.278377343091,22.5005728156518,-1.08050651399191,11.23046875,7,22,N3,S1,EEG_Features
439.750166266676,44.3916372071495,24.5910512134731,16.6452390146639,-0.556906076867232,33.0942595917198,1095.23001792414,181.531832521907,-6.67982185068407,11.3525390625,10,9,N3,S1,EEG_Features
466.835782547003,35.3310001429579,32.2410788673691,20.4157820172168,0.180164152160162,22.7884902289519,519.315286915037,8.38911077785374,0.681382681638339,11.3525390625,5,24,N3,S1,EEG_Features
192.348161984729,31.9196857920839,29.8877963213755,15.2911165641193,0.371060786403995,19.7570800691019,390.342212856902,46.2749035580301,2.7290372815243,12.8173828125,9,15,N3,S1,EEG_Features
139.629306099037,30.4927194739094,20.7636826346753,22.4842875466316,0.696727023835114,40.7694974486267,1662.15192221358,324.408819724141,10.8387999628006,24.90234375,8,4,N3,S1,EEG_Features
677.077552189913,42.2271017793369,33.5213205977066,15.1750663203606,-0.123551459660028,26.2439271906443,688.743714387837,5.22057136223014,-0.0837859016776366,9.27734375,6,26,N3,S1,EEG_Features
788.247851548106,34.7223390287054,21.3515852514734,31.3369258696145,0.254979056928218,47.2308674343174,2230.75483859806,128.331395930135,3.54824202606429,8.056640625,6,6,N3,S1,EEG_Features
602.803459634377,39.9709861686074,30.4586301556409,12.9219012682639,-0.00740249270509664,25.8724789125602,669.385165080874,2.92061695005058,0.246981654402358,9.1552734375,4,37,N3,S1,EEG_Features
486.10531900382,34.1193700040156,16.0352148093824,25.6696179115258,-1.09535517007803,50.3521004112554,2535.33401582515,297.458630135821,-10.7451532987817,8.056640625,5,2,N3,S1,EEG_Features
462.214312389604,28.9812117806477,15.2457102546507,12.2021738182955,-0.38328294454358,26.0586194664023,679.051648494761,12.7822750357991,-0.487923760878646,9.6435546875,8,27,N3,S1,EEG_Features
978.232437120081,31.8038525563054,19.3331537927497,12.4865408036384,-0.279390174283354,34.1246894067069,1164.49442710421,21.1853353984524,-1.15598356793992,5.0048828125,6,22,N3,S1,EEG_Features
652.769195364019,33.7814550437887,15.8648187983972,12.4795802558143,0.538851701938213,26.463798828335,700.332648426587,20.6239053001429,1.5628803239605,7.6904296875,5,18,N3,S1,EEG_Features
942.479940931924,36.5511566996386,15.5743297729781,14.800943584481,-0.0490308712447536,31.6671744731422,1002.80993911243,30.7923483719306,-0.962628005015865,6.2255859375,5,12,N3,S1,EEG_Features
599.325112084888,38.9643937006282,21.256194017868,17.6124224528617,0.944863570701517,42.3211919666456,1791.08328947766,192.549997454224,7.7975907848882,7.32421875,5,5,N3,S1,EEG_Features
509.035867271684,27.3020175509958,23.1957842644757,18.4633299546168,0.127741677152543,32.9573579184582,1086.18744096536,72.5876984210726,2.31653972096828,8.056640625,5,11,N3,S1,EEG_Features
675.373709770515,33.4450409787241,17.3762427031032,14.1017785242506,-0.377475659561364,33.7219034819409,1137.16677444534,62.6161868293672,-2.97704738575927,7.080078125,7,13,N3,S1,EEG_Features
420.071327909063,32.5778228715445,10.7046055300089,12.7688794388128,-0.454163025413889,27.8783596123108,777.202934673319,14.4355811002874,-0.693882413608034,6.9580078125,5,18,N3,S1,EEG_Features
760.0688409613,34.9535877900078,17.2636640621576,12.9951678386108,0.382623089514714,35.1473671094188,1235.33741472426,52.3098400735062,2.88307090714837,6.2255859375,5,15,N3,S1,EEG_Features
744.42878276962,36.5281163252005,13.234424302603,17.2435263050268,-0.245585815524619,41.6960805879903,1738.56313640018,42.6117987219245,-1.41080755482076,6.103515625,5,7,Wake,S1,EEG_Features
802.569488288235,64.524046996707,79.8966331193963,292.251322572217,0.277633567804192,65.2591073338387,4258.75109000948,109.309368829573,2.97673341386885,27.83203125,6,16,N2,S1,EEG_Features
237.891979156107,25.8238587563768,7.55676823245633,10.1117211628097,-1.07244103396005,30.8103049814654,949.274893050909,58.223012330598,-3.72157288019739,11.962890625,5,16,N3,S1,EEG_Features
574.564664451786,32.4177560208781,13.3629592223097,19.9580425580848,-0.279647459994894,36.2986908720411,1317.594959024,151.104774010937,-4.96777348438391,9.521484375,7,7,N2,S1,EEG_Features
227.209794116185,52.5050579617406,30.9353160677362,24.6167334335546,0.205571651791871,26.9820219456436,728.029508275191,46.7378443203061,1.87115247817206,12.8173828125,7,24,N2,S1,EEG_Features
64.9276592884697,20.1177549514496,9.35584321888621,10.3620972398863,0.264581123005611,15.3835200500796,236.6526891312,34.3697833172495,0.475773560184356,17.578125,4,26,N3,S1,EEG_Features
235.058473653791,43.3295872262979,26.5788678478007,18.3673368300805,-0.691516102178004,36.721401423539,1348.46132250869,196.789596511768,-7.19852239315467,10.986328125,5,5,N2,S1,EEG_Features
198.429386142024,24.5769418662165,11.1443120326396,9.93833788815163,0.243006194107907,20.1261071143248,405.060187577276,7.73263470295039,-0.0807332149936595,9.8876953125,4,37,Wake,S1,EEG_Features
707.661084220417,60.1016783217345,63.3730076684084,130.295471205356,-1.12967788469903,75.8505893072661,5753.31189825956,342.178320628266,-10.9774458128811,17.08984375,6,4,Wake,S1,EEG_Features
1790.91414207648,153.568319298369,62.0064949771809,219.730349402651,0.638937030947202,49.0889745684656,2409.72742418347,50.5010415862677,2.90411007528849,20.99609375,7,22,Wake,S1,EEG_Features
2869.81736507507,75.8728528260517,108.789373768806,282.523683388196,0.892038524996906,57.6797756636277,3326.95652060641,85.5727372028566,4.38446480376683,21.3623046875,5,27,Wake,S1,EEG_Features
989.618270553685,52.5149196745919,73.6105488831165,192.110487689981,0.342759579147408,40.1855645822979,1614.87960079803,26.1201522649266,1.50583681178528,21.728515625,7,33,Wake,S1,EEG_Features
192.455788464794,23.2121693958031,42.5095624782053,139.09175847597,0.781006779999576,38.261905766106,1463.97343285438,169.104210294166,6.46534024274321,27.34375,8,15,Wake,S1,EEG_Features
51.3303130159976,17.272549990319,23.8120758924768,78.0689641235802,-0.563721189146789,25.406471056494,645.488771544469,223.254735205437,-8.08189699809167,28.4423828125,6,25,Wake,S1,EEG_Features
760.408369469911,47.5941202047389,62.5736938591275,110.406062764414,1.16096984212021,54.4915170088526,2969.32542592607,215.16445429336,8.2096983828027,20.263671875,5,8,Wake,S1,EEG_Features
583.573840578746,42.5398964903297,46.8104185509177,222.384192532555,-1.22578780536546,36.5188971927032,1333.62985217123,26.811477308436,-2.15132275778881,26.0009765625,5,32,Wake,S1,EEG_Features
816.558042638196,65.0707720811086,74.0267236154151,311.035293751877,-0.486845090440569,53.055692031633,2814.90645695549,130.586162471872,-3.64954430658862,26.7333984375,10,19,Wake,S1,EEG_Features
463.566845430772,27.6427175405108,50.565540115427,174.178507596579,-0.96989512631469,50.3594023149212,2536.06940151609,172.151048117642,-6.55051227800423,28.076171875,10,16,Wake,S1,EEG_Features
804.552669313282,37.9994328984334,54.7562184040673,289.185580184122,-1.10706034242923,64.1490437595381,4115.09981526313,170.878139307282,-6.14177623218468,26.9775390625,7,13,Wake,S1,EEG_Features
623.168730771295,31.1082432525398,40.9882853657624,419.039180661823,-0.653412329785458,66.0998097340147,4369.18484687295,248.058021208708,-8.02026198464585,29.052734375,4,12,Wake,S1,EEG_Features
610.682303994979,40.4132897429846,70.36092580509,303.841040580036,2.48490962182017,108.287072915706,11726.0901606514,452.53929719873,14.2083805199199,30.3955078125,6,2,Wake,S1,EEG_Features
38.5564315903843,13.9060232682126,30.6281357075446,42.8826380643576,-0.110872057576753,12.6856226284246,160.925021470799,40.8093161439071,1.28867149058254,24.169921875,5,61,Wake,S1,EEG_Features
19.7331043309986,12.2441395395214,18.4092801532531,31.4114501438231,-0.0720125939035048,8.71480014234471,75.9477415210115,3.39894924964586,0.030382664470397,22.705078125,5,51,Wake,S1,EEG_Features
45.1623002967304,16.6486884992491,28.5686348909612,37.8243335342937,0.0366893010263372,11.9134970752989,141.931412563156,7.08747358776453,0.141882766198654,24.90234375,5,45,Wake,S1,EEG_Features
18.8678025947811,10.4362800952257,14.9908911872028,24.2620092992787,-0.201161646515221,13.6322903602448,185.839340466022,181.092077354322,-7.0066778094991,23.3154296875,6,36,N1,S1,EEG_Features
31.2614202952928,13.7034969950225,6.28925979646556,12.280327446994,-0.133039244877096,9.24515901075067,85.4729651340644,30.936402138641,-1.81163673529584,22.94921875,8,37,N2,S1,EEG_Features
56.3893958168202,15.9129477084057,9.05344404113889,16.9125488636823,0.126629172301027,10.2138450643445,104.322630998434,8.16022513568661,0.527160973376711,18.9208984375,3,40,N2,S1,EEG_Features
96.4027592519871,17.747210957197,20.0305218607693,20.9575706320989,0.911542307247247,33.1029560089104,1095.80569652786,389.456721214785,12.9520366637576,17.08984375,6,10,Wake,S1,EEG_Features
162.908061003164,18.0479830620903,25.1656819103442,58.4407430743737,1.23422731633658,63.0919119989717,3980.58935968599,364.056709312581,10.9295013426566,29.9072265625,6,6,N1,S1,EEG_Features
42.3800767989888,10.221030009471,7.17850042734271,27.1235401447468,-0.506442604047637,31.823072075747,1012.70791633819,391.559738663711,-11.4481476531626,30.1513671875,3,5,N1,S1,EEG_Features
